shopcity,shoparea,lat,lng
北京,清华大学,40.00936,116.335391
上海，华东师范大学,31.227938,121.40468
上海，东华大学延安西路校区,31.204416,121.414923
北京，通州区中医医院2期，39.88382，116.643131
北京，北京师范大学，新街口外大街19号
