id,deliverTime,distance,idshop,minDeliverFee,minFee,mtWmPoiId,name,shopOpenStatus,sold,star
78,55,0,83494332,5.0,0.0,2162817,馨食尚营养自选快餐,0,0,0
79,35,0,48692261,6.0,0.0,290492,原骨时代,0,2593,49
80,56,0,18031294,8.0,30.0,334621,Oumuni韩式炸鸡（商业中心店）,0,395,48
81,56,0,4516427,0.0,0.0,56493,米卡米卡蛋糕,0,144,48
82,48,0,79623458,5.0,25.0,2054696,味仙麻辣香锅,0,1161,45
83,60,0,68127678,30.0,0.0,2158074,花畦苗铺鲜花,0,32,46
84,56,0,68961259,19.0,168.0,1590678,悟辣火锅,0,9,0
85,227,0,3215671,0.0,0.0,182777,ebeecake小蜜蜂蛋糕,0,736,48
86,30,0,2416345,7.0,20.0,112693,嘉和一品粥(清华店),0,617,48
87,65,0,65944578,8.0,0.0,1193708,望湘园(望湘园（北京五道口华联店）),0,718,48
88,127,0,75136115,0.0,0.0,1837491,生日聚汇蛋糕坊,0,79,48
89,94,0,24958437,0.0,0.0,1017705,小贤家千层榴莲蛋糕,0,457,48
90,56,0,59061894,40.0,25.0,1928489,爱丽莎酒庄（百子湾店）,0,51,50
91,68,0,22980860,5.0,20.0,112640,丰四水果,0,346,48
92,40,0,45586126,0.0,88.0,590421,茶多美茗茶,0,12,0
93,41,0,56588932,3.0,0.0,501121,陕西羊汤,0,1608,46
94,68,0,73590735,39.0,100.0,1813720,妈咪棒韩式炸鸡（双桥店）,0,130,49
95,30,0,3896062,5.0,20.0,1193671,川满楼炒菜盖面,0,74,49
96,56,0,76847602,15.0,50.0,1911234,南粤大地水果批发,1,0,0
97,60,0,68125976,0.0,90.0,1386817,花花草草那些事儿,1,1,0
98,40,0,69498837,40.0,168.0,1564763,顺达超市,1,5,0
99,30,0,3896062,5.0,20.0,1193671,川满楼炒菜盖面,0,74,49
100,36,0,58757173,6.0,0.0,765377,FitBuddy健康伙伴,0,2228,47
101,37,0,2273329,3.0,15.0,2349279,重庆高氏麻辣烫（六道口店）,0,209,37
102,50,0,83611892,38.0,80.0,125955,哈哈镜国贸店,0,151,48
103,30,0,17887879,5.0,30.0,21736,李先生加州牛肉面（北京清华照澜院店）,0,478,47
104,37,0,33522078,12.0,35.0,485665,世纪华联超市（24小时）,0,163,47
105,40,0,72448920,50.0,0.0,1032774,北京溢香酒业,0,0,0
106,30,0,22356205,4.0,20.0,355653,巫山烤全鱼（北语东门）,0,105,44
107,37,0,69804142,3.0,0.0,1634222,咖喱小厨,0,31,0
108,53,0,68246752,8.0,38.0,1421361,丰四水果（中关村店）,0,66,46
109,70,0,90106847,20.0,45.0,2272444,百味蔬屋·轻食,0,171,48
110,100,0,68062571,40.0,0.0,1373947,狠角色阳澄湖大闸蟹,0,477,45
111,74,0,90420079,30.0,0.0,2279961,珍品汇海鲜（芍药居店）,0,73,50
112,50,0,66767157,69.0,0.0,1021830,月亮超市（十里堡店）,0,235,48
113,56,0,69516957,30.0,38.0,1568934,绿色食材,0,33,0
114,50,0,79560193,70.0,0.0,2035258,华都分割鸡蔬菜店（石榴园店）,0,85,50
115,89,0,43644759,25.0,128.0,489515,叫个鸭子（六里桥店）,0,55,49
116,31,0,25804782,7.0,0.0,372997,张亮麻辣烫（苏州街店）,0,118,41
117,44,0,509991,5.0,20.0,761490,西园海鲜大酒楼,1,0,0
118,36,0,69201411,3.0,0.0,1603304,小火慢炖排骨米饭,1,0,0
119,78,0,69895566,30.0,150.0,1668414,苏先生的虾（小龙虾外卖）,1,161,47
120,55,0,3269833,5.0,0.0,550719,渭河人家,1,10,0
121,56,0,67474953,8.0,50.0,1224634,芝士多披萨（物美店）,1,0,0
122,30,0,33597613,9.0,20.0,1445000,秦陇小馆（苏州街店）,0,408,47
123,74,0,74617538,8.0,20.0,1810007,勺勺炸鸡（上地华联店）,0,65,48
124,56,0,32375402,35.0,0.0,2310585,辣家私厨（双桥店）,0,35,40
125,82,0,18693142,35.0,0.0,202314,辣私房（小龙虾海鲜外卖）,0,1882,47
126,67,0,90489621,4.0,25.0,2307628,伊鸣快餐,0,266,45
