shopid,shopname,lat,lng,cateid,catename
23201528,辣溢有道,40.0370793913759,116.328478397626,101303,无辣不欢
76827153,稻香村（苏州街超市发店）,39.9799226670489,116.299245588433,101276,甜点饮品
32705389,Melt in意大利手工冰淇淋店（北京华联农大南路店）,40.02706961167,116.305432789464,101276,甜点饮品
20707107,十七城重庆小面,39.9924190883565,116.332369200881,101303,无辣不欢
75110565,扶栏迷粉（宇宙中心店）,39.9860762554592,116.329251102636,101301,暖胃粉面
516103,多乐之日(五道口店),39.9918788463678,116.33039176199,101276,甜点饮品
2518099,鑫鑫胖胖烧烤店（韩式料理）,39.9962343618005,116.334272426165,100321,异国料理
75656638,牧羊人烧烤,39.9905318800974,116.325167914417,101327,烧烤炸鸡
2253070,千鹤居酒屋（五道口店）,39.9907371813631,116.330768049574,100321,异国料理
69315804,花鼠鲜花（亚运村店）,39.9770808756934,116.303735695332,101346,鲜花蛋糕
23751920,渝新味,40.0023146752361,116.309279554999,101303,无辣不欢
69737395,7分甜,39.9908240077172,116.333513818896,101276,甜点饮品
77012000,有味来小面（中式快餐）,40.0011777349804,116.346848788571,101301,暖胃粉面
74574776,鲍师傅糕点,39.980215174453,116.35397768695,101276,甜点饮品
82682304,杜氏麻辣烫,40.0003742785125,116.347741093894,101303,无辣不欢
56867494,coco都可（五道口地铁店）,39.9942141838352,116.328060796904,101276,甜点饮品
67802027,通鸡令-pizza（五道口店）,39.9917254084523,116.332214638898,101327,烧烤炸鸡
90975956,爱米屋三文鱼日料,40.028232811406,116.430459199184,101327,烧烤炸鸡
66104309,爱尚炸鸡店,40.0137197430202,116.3430201072,101327,烧烤炸鸡
24654040,山西刀削面（精美盖饭）,40.0002038474047,116.363648961541,101301,暖胃粉面
4504628,张师傅参鸡汤（五道口店）,39.9987922224032,116.345440965849,100321,异国料理
27000006,微咖啡（We Coffee）,39.9918432296043,116.324957233499,101276,甜点饮品
82015127,兴旺开心超市,39.986738145074,116.330875312806,100970,商超生鲜
76271140,比萨家族（回龙观店）,40.0667106043522,116.318639288715,101052,汉堡披萨
57297262,香送La Chanson（五道口站）,39.9899173001015,116.341590172166,101276,甜点饮品
67266202,不二螺精品螺蛳粉,39.9917096477201,116.332087927955,101301,暖胃粉面
65712689,第一佳大鸡排（五道口店）,39.9923602034624,116.332309343858,101327,烧烤炸鸡
17737795,彩虹寿司（知春路店）,39.9757443833248,116.336881215919,100321,异国料理
