shopid,shopname,cateid,catename,num,distance
21270425,江同学烤蹄,100321,异国料理,1,4426.997599
21819731,U鼎冒菜（农大圣熙8号店）,101303,无辣不欢,1,12256.72824
77281906,闽鲜行挪威三文鱼,101327,烧烤炸鸡,1,8150.634142
69688620,烧烤一品,101327,烧烤炸鸡,1,12978.89741
22581221,25小时鲜花店（总部）,101346,鲜花蛋糕,1,4627.303414
27350042,繁花小筑•高端花店,101346,鲜花蛋糕,26,6110.568964
