shopid,shopname,num,lat,lng
66701337,ppppp,0,39.9930491523981,116.35911605504
27374916,庆丰包子铺（志新路）,8,39.9925800554104,116.359926776426
32774211,杨国福麻辣烫（志新路店）,6,39.9921638542762,116.360827369953
66934511,转点pizza（志新路）,4,39.9922586716347,116.349537570386
65974990,讨小海龙虾饭,3,40.0200371414661,116.340928754356
69691581,欧麦面包坊,3,39.9914330622787,116.359230071783
57161449,加饭PlusFun(清华店),3,39.9924987847942,116.332528829564
25042206,康源超市,2,39.8961081171379,116.457662132112
79623458,味仙麻辣香锅,2,39.991984570073,116.332654610407
24795487,秦晋羊肉泡馍,2,40.0004647599346,116.347449667173
18025909,小家餐厅（六道口店）,2,40.0001222454627,116.353386236357
68184085,三嫂薄皮包子,2,40.0073384070467,116.349299115128
59115286,手工水饺,2,39.9971031677648,116.346103822535
58207001,聚点串吧（五道口店）,2,39.9918712070515,116.332318385466
45604578,煎饼间,2,39.9758909110264,116.336590839917
22276735,张亮麻辣烫(志新桥店),2,39.987176494076,116.362785934652
25054648,姐妹土豆粉,2,40.0002468892608,116.347377839397
68135411,鲜粮卷饼王（五道口店）,2,39.9962384453348,116.334227526423
73391928,叫了个炸鸡（六道口店）,2,40.0008344081816,116.347052420533
21555924,二贵酸汤鱼土家菜（学院路店）,2,39.9988802321911,116.346020765799
4504628,张师傅参鸡汤（五道口店）,2,39.9987922224032,116.345440965849
24654040,山西刀削面（精美盖饭）,2,40.0002038474047,116.363648961541
32843127,金釜山紫菜包饭盐酥鸡,2,39.9758841016464,116.347260179736
23114776,谢家驴肉火烧（二店）,2,39.9989226728005,116.338935757072
69087747,24h便利美食,2,40.0011053817751,116.359423515668
23895124,秦晋面艺,2,39.9969799921953,116.346210620289
5597966,驴肉火烧刀削面馆,2,40.0000183164692,116.369253205105
75138686,壹号院餐厅（石油大院店）,2,39.9941485385455,116.353362043336
65680538,局气(五道口店),2,39.9913438364723,116.333059776553
5588548,星巴克咖啡（北辰西路）,2,39.9979970477025,116.381329383393
66615535,蒙太吉,2,40.0093702770547,116.344554450382
4796138,巴渝川菜,2,40.0136433263911,116.343260610411
73545994,披萨革命（中关村店）,2,39.9836623025372,116.321976137776
59422510,王子名凉皮,2,39.9920036922134,116.330998364663
67630692,果真如此,2,39.9904632795684,116.324961398737
66110053,炸鸡啤酒林萃路店,2,40.0119266647662,116.365828286208
66073781,疯狂蛋炒饭,2,40.0002478658913,116.347391811164
69215347,三头小猪排骨饭(五道口),2,39.9919484385069,116.332725454853
58531773,吉吉熊比萨(五道口店),2,39.9867742182718,116.327682607933
4117988,江依林烤串吧（五道口店）,1,39.9978817867033,116.334006813376
65944578,望湘园(望湘园（北京五道口华联店）),1,39.9912590683617,116.33293806208
33522078,世纪华联超市（24小时）,1,40.0334837662529,116.342463764435
90965180,江依林米线吧,1,39.9980475301285,116.334140492012
59125196,好私烧便当,1,39.9923921930312,116.334450514749
5284421,满座儿(清华店),1,39.9927795717386,116.324758572482
72450386,舌头小厨（六道口店）,1,40.007180999153,116.347729249859
67356614,樱花屋（清华店）,1,40.0163197804205,116.308344839653
75164392,望京小腰北航串吧,1,39.978026739147,116.340495033582
514404,桃屋日本料理（五道口总店）,1,39.9961518184676,116.337820551606
3195202,宝润缘粥饼家常菜,1,39.9987862175513,116.345443960455
32565422,德克士(五道口店),1,39.9918353719205,116.332231586556
14727694,西部马华牛肉面（学院路餐厅）,1,39.9916906670954,116.345944836921
24832961,西安一品砂锅鸡公煲,1,40.0004377577698,116.347451666595
23632610,无名缘米粉（保福寺桥店）,1,39.9826860598784,116.327853733457
90420981,井号夜宵（海淀店）,1,39.9868052799212,116.327649679572
23332532,口福小炒,1,40.0005364847356,116.367275738218
27473357,哈哈镜（中关村店）,1,40.0018256054591,116.309328508887
67255148,德宏绿孔雀（云南傣味）,1,39.9919191468474,116.332349309375
17664781,西少爷肉夹馍（五道口旗舰店）,1,39.9920695934322,116.327370652823
18278997,鸿运老北平,1,39.986617970459,116.334162893396
16970509,乌巢比萨主义主题餐厅（五道口店）,1,39.9921637807747,116.327793669759
59158340,周黑鸭(北京五道口华清嘉园店),1,39.9911181585313,116.329191599286
24649498,重庆霸王麻辣香锅,1,40.0004265635918,116.347568433461
17737795,彩虹寿司（知春路店）,1,39.9757443833248,116.336881215919
82245377,麻辣传（辣炒）,1,39.9918730117654,116.33242215037
22393739,渝品味美食,1,39.9999412905861,116.345371961455
8988572,CoCo都可茶饮（五道口华联店）,1,39.9908629688398,116.332999972594
18571536,鸭血粉丝汤（圣熙店）,1,40.0070790152898,116.347722276835
65695233,满座儿(大屯路店),1,40.0008246088856,116.371847944084
65712689,第一佳大鸡排（五道口店）,1,39.9923602034624,116.332309343858
2253889,火鬼披萨（五道口店）,1,39.9905671714503,116.330777050653
48007869,尚仔便当（五道口店）,1,39.9809870373801,116.321651224495
8960371,谢家驴肉火烧,1,39.9984461026396,116.344354258186
69843984,royaltea皇茶（御品贡茶）,1,39.9753972968679,116.339686116325
50311406,杨铭宇黄焖鸡米饭（北一街店）,1,39.9878415836375,116.316532097559
69692213,山城宴遇,1,39.9857147853037,116.327932169608
59034391,韩国炸鸡店（Call Dak）,1,40.0186681345429,116.340968842633
66325573,尚品披萨,1,39.9990672418746,116.347797148248
10330755,第1佳大鸡排（圣熙八号店）,1,40.0072401244814,116.34886298669
73600363,元气健身餐,1,39.9832857997781,116.321725762006
66815645,椒鸣椒麻小馆,1,39.9917851731052,116.332338351189
3108361,龙香记桂林米粉,1,39.9955801474934,116.329098246854
