shopid,shopname,num,lat,lng
21142290,清真来一碗牛肉面酷串吧,1,39.9950843473553,116.328479726101
58331899,火齐潮汕砂锅粥(五道口店),1,39.9917044393497,116.332730474487
23892362,杨国福麻辣烫（大屯路店）,1,40.0001168983362,116.369640702431
90489467,鸡跑跑黄焖鸡&米饭,1,39.9980328379896,116.333975863742
66050831,井冈人家,1,40.0078904187295,116.345678318906
5201155,约克比萨,1,39.9835553632315,116.363005062346
512933,云尊府云南菜,1,40.0067173569855,116.345745330964
5201155,约克比萨,1,39.9835553632315,116.363005062346
66075414,巴不得韩式快餐,1,40.0193630742013,116.339311337505
69778357,快乐果匠（五道口店）,1,39.991888157827,116.330754933387
15093873,宇宙卷饼(宇宙卷饼（五道口店）),1,39.9915993631708,116.332773390843
23593306,麻尚送麻辣香锅（五道口店）,1,39.9871349531172,116.363211291617
19107806,缘来味重庆小面（清华东路店）,1,40.0011407097576,116.346864760954
19322370,虎头军煎饼（五道口店）,1,39.9934223423069,116.32694944901
23365518,e佰超市,1,39.9900878152055,116.330447861363
67112072,麦家小馆（学清路店）,1,40.0094728389824,116.344226120285
59272432,盖饭王（宅急送）,1,40.0140570526249,116.340574278566
32324803,焦耳川式快餐（六道口店）,1,40.0004305634192,116.347568432952
40283174,Twin Windmills（双风车咖啡馆）,1,40.0018771736887,116.343076496798
512619,嘉和一品粥(五道口店),1,39.9911873689669,116.332247632478
58198003,小嘿冒菜（五道口店）,1,39.9916305773905,116.332658646226
82259479,美食美客砂锅土豆粉,1,39.9969130964117,116.346150750953
76943762,好多果果,1,39.9876473907189,116.332846726871
90063338,熊小姐酸辣粉（粉＊面）,1,39.9917755263373,116.332682573732
21212300,三只龙虾,1,40.0410315300205,116.408504191332
58383889,清泰华水业,1,40.0323654732089,116.346141250042
4198893,池田寿司（西单大悦城店）,1,39.9090182155963,116.367277417105
25034529,MusangKing猫山王,1,39.9912431666043,116.329184599442
50381490,木子卷寿司,1,39.8970358330997,116.492910458312
59220254,醇香烤地瓜VS迁西糖炒栗子,1,39.9532906350808,116.31356019658
59132408,北京鸿雁桶装水站,1,39.9519201629949,116.365817967646
65711655,山西刀削面,1,39.9537094283125,116.365536139403
4107001,粤味餐厅,1,39.9921134277717,116.33433081861
5490994,艾尚蛋糕店,1,39.9644677648006,116.306283852682
18526394,星巴克咖啡（青年路）,1,39.92451870191,116.511255504371
21819731,U鼎冒菜（农大圣熙8号店）,1,40.0075995316165,116.347999655594
3556948,万龙洲海鲜大酒楼（阜外店）,1,39.9216535139258,116.341329401302
6526138,建国超市,1,39.8996786264313,116.458337836609
67637120,麻辣源（西坝河店）,1,39.9630507248718,116.429866332214
512716,百万庄园（月坛北街店）,1,39.9162190374408,116.344010427504
69779503,满庭芳园全时便利店,1,39.9667846525458,116.325790488719
65671433,虾蟹情,1,40.0278668022688,116.430441210223
17712680,老爸道秘制私房菜小龙虾外卖,1,39.9030242265537,116.504532467431
8912640,襄阳来了牛肉面,1,39.9307126281624,116.34390081659
2394568,星巴克咖啡（海淀）,1,39.9570081868555,116.282025830572
24972102,八喜冰淇淋蛋糕（工厂店）,1,40.1329660828885,116.580326135036
23626323,靖天酒业,1,40.0459630395382,116.322160817037
514239,金簋小山城（簋街总店）,1,39.9397401512141,116.412100263713
65735081,榴莲蛋糕（榴莲哥榴莲主题店）,1,39.9745666542215,116.372932070691
69711945,美蛙（望京店）,1,40.0075100128137,116.45662683489
67974997,酒小二,1,40.0864099722365,116.337246318543
3157528,一志寿司铁板烧（学院路店）,1,39.9928840793486,116.346262037258
90040117,幸福鸟烘焙店,1,39.9567801049992,116.35268306944
43616862,卧底生鲜超市,1,39.9229208207696,116.444800039575
511694,赛百味（金码大厦店）,1,40.0005743107278,116.347117322643
69209162,辣妈香锅排骨汤,1,40.0002865380458,116.347587413214
