origin,destination,count
72351328,58353947,11
72351328,65711655,9
72351328,69557110,17
72351328,69763970,10
72351328,73414401,16
72351328,77312244,9
72351328,79258615,13
8968906,510278,11
8968906,511042,12
8968906,511764,12
8968906,512237,9
8968906,512939,11
8968906,1916689,11
8968906,1944889,9
8968906,2003104,13
8968906,2585788,11
8968906,2678710,13
8968906,2688802,13
8968906,2792020,11
8968906,3167710,9
8968906,5616861,11
8968906,6047711,10
8968906,18768923,10
8968906,19011214,9
8968906,35937614,11
8968906,45404917,10
8968906,48011181,10
8968906,48654732,15
8968906,58353947,10
8968906,67420602,16
8968906,67496973,14
8968906,67731779,21
8968906,67903235,10
8968906,70426517,10
511566,73414401,9
510278,512237,12
510278,512716,10
510278,1884214,10
510278,1916689,9
510278,2003104,11
510278,2477131,10
510278,2490793,14
510278,2585788,13
510278,2678710,11
510278,2688802,9
510278,2774815,15
510278,2792020,13
510278,3056221,9
510278,3167710,10
510278,4189642,9
510278,8968906,11
510278,12594495,9
510278,16988545,15
510278,20932385,13
510278,23223824,10
510278,37491989,12
510278,48011181,12
510278,57394803,11
510278,58223978,11
510278,66340319,10
510278,67124168,17
510278,67496973,11
510278,70426517,9
510278,75201023,9
9044082,512399,9
9044082,2005261,11
9044082,2944363,9
9044082,3331159,17
9044082,6163408,10
9044082,15124955,15
9044082,20830842,13
9044082,38089288,9
9044082,65941285,12
5724122,509084,10
5724122,512579,11
5724122,514233,9
5724122,1947109,10
5724122,2377600,15
5724122,2547121,9
5724122,2654032,10
5724122,2666680,9
5724122,3131344,12
5724122,8112884,10
5724122,8988699,11
5724122,15130972,16
5724122,35930098,11
5724122,67624497,9
5724122,68181630,10
5724122,69413245,9
5724122,69797642,10
5724122,72351328,9
5724122,73414401,11
8924541,512237,13
8924541,512716,9
8924541,2477131,11
8924541,2688802,10
8924541,5530086,11
8924541,8728185,9
8924541,15094130,9
8924541,18203489,11
8924541,21266262,11
8924541,21918836,12
21918836,8924541,12
21918836,11576492,13
21918836,15108946,13
21918836,15131638,10
21918836,20662243,9
21918836,65715688,12
4207927,64016695,9
69923290,68048082,19
69923290,69664890,18
48183195,15094130,10
48183195,50664390,13
48183195,57394803,10
48183195,59262032,9
48183195,67124168,9
16828462,18020781,9
67624497,2085004,9
67624497,2274055,9
67624497,2316817,14
67624497,2377600,10
67624497,3131344,9
67624497,3304546,13
67624497,5397106,49
67624497,5616861,20
67624497,5724122,9
67624497,9067060,9
67624497,15088944,10
67624497,19011214,9
67624497,48073072,9
67624497,66251467,13
67624497,69572326,16
69484387,2400406,10
69484387,5616861,9
69484387,8074790,9
69820706,77263295,10
66058505,69061150,10
3932554,5599322,18
3932554,73414401,9
67731779,511042,10
67731779,512939,10
67731779,1916689,10
67731779,1944889,14
67731779,2678710,9
67731779,2688802,10
67731779,2749942,17
67731779,3679093,10
67731779,5616861,9
67731779,8968906,21
67731779,15088944,9
67731779,18768923,10
67731779,20722319,10
67731779,21949591,15
67731779,22574697,10
67731779,35937614,9
67731779,37491989,10
67731779,45404917,15
67731779,48654732,12
67731779,58007874,10
67731779,58223978,9
67731779,59211021,22
67731779,59424753,9
67731779,67420602,9
67731779,67496973,10
67731779,67903235,9
67731779,69797642,10
67731779,70426517,13
67731779,74597846,9
20674780,5397106,9
79303794,5398630,10
79303794,65649102,12
79303794,66382952,9
79303794,74200620,9
79303794,79303690,12
79303794,79446907,14
79303794,90286597,9
57395824,2666680,9
57395824,3331159,14
57395824,17763939,12
57395824,69797642,9
68540246,6109648,12
77281906,45301812,15
79303690,513623,13
79303690,3469897,12
79303690,5398630,9
79303690,79303794,12
79303690,79446907,15
76078547,69946359,11
67405255,67405285,14
67405255,67751013,11
67405255,67832524,9
58744072,27161142,15
58744072,48007845,10
58744072,48684547,13
67152499,58685726,10
67152499,66551271,11
69664087,66181473,10
21968140,13885239,9
21968140,58774651,22
68217188,57443022,18
58747150,37767830,18
58747150,41247849,15
58747150,65446497,9
58747150,66868359,9
58747150,66979982,10
69664890,68048082,16
69664890,69923290,18
20905530,22661998,13
509084,512017,19
509084,512399,10
509084,512579,9
509084,585183,9
509084,1916689,11
509084,1947109,10
509084,2005261,14
509084,2384998,16
509084,2666680,13
509084,3099511,9
509084,3490447,10
509084,3543058,11
509084,5356369,11
509084,5397106,10
509084,5724122,10
509084,6020566,11
509084,6840284,9
509084,8291516,21
509084,15130972,10
509084,18398690,9
509084,21284512,10
509084,21993091,15
509084,23122494,10
509084,23612386,13
509084,35930098,12
509084,44061037,9
509084,45342618,15
509084,45464662,9
509084,58353947,12
509084,59161660,10
509084,65480053,9
509084,68044920,10
509084,68181630,25
509084,69232134,12
509084,69557110,10
509084,72351328,14
509084,73414401,13
509084,77280137,9
23122494,509084,10
23122494,513758,9
23122494,581201,10
23122494,3099511,9
23122494,3331159,16
23122494,21400533,9
23122494,45464662,9
23122494,58705395,16
23122494,68181630,13
23122494,69557110,13
23122494,72351328,9
23122494,77312244,9
57622913,23684296,9
21660622,19611676,11
19222361,5142838,10
19222361,9073131,14
19222361,20721805,10
19222361,22025186,9
19222361,27012909,21
19222361,44061037,10
19222361,66654926,9
68190129,1944880,10
68190129,2678710,9
68190129,2749942,9
68190129,68190108,9
68190129,68223712,12
68190129,69129072,9
68190129,70426517,9
68190129,70448350,10
68190129,75090907,9
77263295,69820706,10
65446497,37767830,15
65446497,41247849,12
65446497,58747150,9
65446497,66979982,11
79304086,2400406,15
79304086,67551073,10
79304086,76917602,9
79304086,77312244,11
79304086,79435368,10
68190072,6109648,9
68190072,65941285,20
68190072,66654926,20
68190072,68190108,9
68190072,68223712,9
75201023,510278,9
75201023,3056221,9
75201023,65336046,14
75201023,67435654,9
75201023,82244364,10
68190108,68190072,9
68190108,68190129,9
68190108,70448350,9
2384866,508995,10
2384866,513623,13
2384866,516112,9
2384866,585183,12
2384866,5398630,14
2384866,11576492,14
